nome_cliente,cnpj_cliente,email_cliente,telefone_cliente,numero_nf,data_emissao,valor_net,valor_tributo,valor_total,nome_item,qtd_item,condicao_pagamento,cep,num_endereco,complemento,tipo_endereco,data_processamento
Empresa DD,12345098788432,contato@empresaDD.com,6677889900,029,2023-12-31,3200.0,320.0,3520.0,Produto 29,30,a vista,44094092,3000,Casa 70,Residencial,2024-01-01
Empresa EE,98765432104476,suporte@empresaEE.com,5544332211,030,2023-12-31,3300.0,330.0,3630.0,Produto 30,31,30 dias,77813376,3100,Loja 25,Cobranca,2024-01-01
Empresa A,12345678922234,contato@empresaA.com,1122334455,001,2023-12-31,500.0,50.0,550.0,Produto 1,5,30 dias,23085680,100,Apto 101,entrega,2024-01-01
Empresa B,98765432155876,info@empresaB.com,9988776655,002,2023-12-31,750.0,75.0,825.0,Produto 2,3,a vista,23085690,200,Casa 20,entrega,2024-01-01
Empresa E,12345098769932,contato@empresaE.com,6677889900,005,2023-12-31,800.0,80.0,880.0,Produto 5,6,45 dias,23085700,600,Avenida Secundária,EnderecoInexistente,2024-01-01
Empresa C,88789012304555,suporte@empresaC.com,5544332211,859,2023-12-31,600.0,60.0,660.0,Produto 3,3,60 dias,6160100,300,Sala 5,entrega,2024-01-01
Empresa H,567890127859567,suporte@empresaH.com,7744332233,859,2023-12-31,700.0,70.0,770.0,Produto 4,7,60 dias,6160110,400,GalpAo 10,entrega,2024-01-01
Empresa D,11223344556677,,9988776655,003,2023-12-31,600.0,60.0,660.0,Produto 5,5,30 dias,6160120,500,Rua Principal,Residencial,2024-01-01
Empresa F,33445566778899,contato@empresaF.com,1122334455,005,2023-12-31,900.0,90.0,990.0,Produto 7,7,30 dias,6160126,700,Rua Principal,entrega,2024-01-01
Empresa F,33445566555899,contato@empresaF.com,1122334455,006,2023-12-31,1000.0,100.0,1100.0,Produto 8,8,60 dias,6160128,800,Avenida Secundária,Comercial,2024-01-01
